BI 15μm epi	no AR
eV	QE %
10	2
20	19.04
30	68.87
40	73.65
50	78.64
60	82.08
70	83.67
80	88.29
90	89.67
100	70.98
110	30.25
120	15.33
130	13.97
140	15.61
150	15.76
160	16.13
170	15.91
180	18.83
190	28.79
200	33.06
210	37.26
220	41.55
230	46.95
240	52.79
250	59
300	65
400	75
600	89
800	95
1200	95.7
1600	78.44
1700	72.72
1800	66.89
1900	97.12
2000	97.44
2200	97.93
2300	98.09
2500	98.15
2700	97.73
2800	97.29
2900	96.67
3000	95.86
3300	92.25
3600	87.09
3700	85.11
3800	83.02
3900	80.86
4000	78.63
4500	67.21
5000	56.39
5500	46.93
6000	38.99
6500	32.48
7000	27.18
7500	22.87
8000	19.37
8500	16.51
9000	14.16
9500	12.22
10000	10.61
12000	6.35
14000	4.07
16000	2.76
18000	1.96
20000	1.44
22000	1.09
24000	0.84
26000	0.67
28000	0.54
30000	0.45
